"Age","Gender","EducationLevel","HouseholdIncome","Frequency_LaptopDesktop","Frequency_Smartphone","Frequency_Tablet","Frequency_SmartHomeDevices","Frequency_WearableDevices","Frequency_GamingConsoles","Frequency_HomeSecuritySystem","LikelinessToAdopt","Benefit_ProductivityEfficiency","Benefit_CommunicationConnectivity","Benefit_EasyAccessToInfo","Benefit_Entertainment","Risk_SecurityPrivacy","Risk_ExcessScreenTime","Risk_ComplicatedToUse","Risk_Addiction","Risk_Health","Risk_LossOfConnection","Influence_FamilyFriends","Influence_PromoActivities","Influence_SocialPopularity","Influence_ExpertRecommendation","Influence_Endorsements","Barrier_HighPrice","Barrier_TechKnowledge","Barrier_PrivacySecurity","Barrier_ReliableInternet","Barrier_ChangeReluctance","LikelinessToRecommend","IncomeCategory","TotalTechConcern","TotalTechBenefit"
25,"Female","Bachelor's Degree",1500000,4,5,0,4,0,0,0,3,4,4,5,5,4,4,4,4,4,3,5,3,5,4,2,3,4,4,3,4,4,"Upper-Middle Income",23,18
48,"Female","Bachelor's Degree",8e+05,3,5,5,4,5,2,3,4,5,5,5,5,4,3,2,2,2,4,4,4,4,4,2,2,4,4,4,4,5,"Middle-Middle Income",17,20
49,"Male","Master's Degree",3e+07,4,4,0,2,0,0,0,4,4,4,4,4,5,5,4,4,5,5,3,3,3,3,1,5,5,5,3,4,3,"High Income",28,16
38,"Male","Bachelor's Degree",20000,1,0,1,1,1,2,1,3,1,2,1,2,1,2,2,1,2,3,3,2,3,3,2,1,3,2,3,2,3,"Low Income",11,6
45,"Male","Bachelor's Degree",5e+06,5,5,3,5,5,0,0,5,5,5,5,5,3,3,3,2,3,4,3,3,3,3,3,3,3,3,3,3,5,"High Income",18,20
45,"Female","Bachelor's Degree",1200000,4,4,3,4,4,2,2,5,4,4,4,4,4,5,5,5,5,5,3,3,4,4,3,3,3,3,3,3,5,"Middle-Middle Income",29,16
47,"Male","Doctorate",5e+06,5,5,4,4,4,3,3,4,4,4,4,4,5,4,3,4,3,4,4,4,4,4,4,5,5,5,4,5,5,"High Income",23,16
55,"Female","Bachelor's Degree",60000,1,0,1,0,1,2,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,"Low Income",18,12
49,"Male","Master's Degree",6e+05,0,0,1,1,1,1,0,1,4,4,4,4,1,2,2,2,2,2,4,4,4,4,4,2,4,3,4,1,5,"Lower-Middle Income",11,16
41,"Male","Master's Degree",8e+05,0,0,0,0,0,2,1,2,3,2,3,3,2,2,2,2,2,3,1,1,1,1,1,2,3,3,2,3,5,"Middle-Middle Income",13,11
